"","word","n"
"210","hour",30
"211","leh",30
"212","000",29
"213","2nd",29
"214","8",29
"215","award",29
"216","bus",29
"217","dad",29
"218","fuck",29
"219","network",29
"220","selected",29
"221","town",29
"222","true",29
"223","wife",29
"224","afternoon",28
"225","collect",28
"226","evening",28
"227","missing",28
"228","texts",28
"229","tmr",28
"230","details",27
"231","join",27
"232","mail",27
"233","pain",27
"234","school",27
"235","sexy",27
"236","wif",27
"237","xmas",27
"238","abt",26
"239","bring",26
"240","collection",26
"241","entry",26
"242","guy",26
"243","hav",26
"244","means",26
"245","til",26
"246","tones",26
"247","update",26
"248","wake",26
"249","wot",26
"250","2000",25
"251","5000",25
"252","de",25
"253","decimal",25
"254","gift",25
"255","haven",25
"256","juz",25
"257","messages",25
"258","missed",25
"259","mob",25
"260","plz",25
"261","price",25
"262","times",25
"263","wen",25
"264","10p",24
"265","alright",24
"266","bored",24
"267","hair",24
"268","havent",24
"269","music",24
"270","shop",24
"271","till",24
"272","valid",24
"273","weekly",24
"274","worry",24
"275","yesterday",24
"276","attempt",23
"277","book",23
"278","colour",23
"279","coz",23
"280","double",23
"281","dude",23
"282","food",23
"283","haf",23
"284","hurt",23
"285","id",23
"286","lei",23
"287","makes",23
"288","net",23
"289","online",23
"290","oso",23
"291","run",23
"292","stay",23
"293","words",23
"294","800",22
"295","address",22
"296","answer",22
"297","ard",22
"298","change",22
"299","delivery",22
"300","dreams",22
"301","driving",22
"302","family",22
"303","feeling",22
"304","friendship",22
"305","goin",22
"306","hot",22
"307","nite",22
"308","question",22
"309","sch",22
"310","test",22
"311","top",22
"312","8007",21
"313","beautiful",21
"314","bonus",21
"315","busy",21
"316","calling",21
"317","date",21
"318","game",21
"319","hours",21
"320","http",21
"321","lose",21
"322","movie",21
"323","nt",21
"324","sad",21
"325","sae",21
"326","todays",21
"327","tot",21
"328","trip",21
"329","vouchers",21
"330","wid",21
"331","await",20
"332","brother",20
"333","charge",20
"334","chikku",20
"335","club",20
"336","drive",20
"337","eve",20
"338","games",20
"339","happen",20
"340","huh",20
"341","leaving",20
"342","noe",20
"343","ring",20
"344","set",20
"345","sleeping",20
"346","smiling",20
"347","story",20
"348","walk",20
"349","750",19
"350","86688",19
"351","aft",19
"352","awesome",19
"353","congrats",19
"354","doesn",19
"355","email",19
"356","finished",19
"357","gr8",19
"358","head",19
"359","minute",19
"360","mum",19
"361","news",19
"362","okie",19
"363","pic",19
"364","pics",19
"365","pm",19
"366","poly",19
"367","post",19
"368","pounds",19
"369","private",19
"370","rite",19
"371","row",19
"372","simple",19
"373","started",19
"374","thinking",19
"375","tomo",19
"376","wil",19
"377","150",18
"378","250",18
"379","angry",18
"380","auction",18
"381","close",18
"382","drink",18
"383","drop",18
"384","forget",18
"385","gd",18
"386","land",18
"387","mine",18
"388","neva",18
"389","pub",18
"390","services",18
"391","smoke",18
"392","taking",18
"393","tho",18
"394","touch",18
"395","unsubscribe",18
"396","xx",18
"397","11",17
"398","12hrs",17
"399","break",17
"400","card",17
"401","carlos",17
"402","choose",17
"403","company",17
"404","dating",17
"405","expires",17
"406","found",17
"407","knw",17
"408","lesson",17
"409","lots",17
"410","loving",17
"411","lucky",17
"412","msgs",17
"413","opt",17
"414","parents",17
"415","search",17
"416","sis",17
"417","sister",17
"418","sounds",17
"419","statement",17
"420","voucher",17
"421","whats",17
"422","worth",17
"423","08000930705",16
"424","anytime",16
"425","bout",16
"426","boytoy",16
"427","college",16
"428","decided",16
"429","fast",16
"430","frnd",16
"431","girls",16
"432","ha",16
"433","happened",16
"434","hard",16
"435","hows",16
"436","identifier",16
"437","info",16
"438","mobileupd8",16
"439","mom",16
"440","ni8",16
"441","pobox",16
"442","prob",16
"443","saturday",16
"444","smth",16
"445","sun",16
"446","takes",16
"447","treat",16
"448","type",16
"449","visit",16
"450","winner",16
"451","wonderful",16
"452","08000839402",15
"453","2lands",15
"454","30",15
"455","350",15
"456","camcorder",15
"457","content",15
"458","crazy",15
"459","darlin",15
"460","fri",15
"461","friday",15
"462","fucking",15
"463","goodmorning",15
"464","hand",15
"465","hit",15
"466","hold",15
"467","light",15
"468","lovely",15
"469","mates",15
"470","mrng",15
"471","nope",15
"472","nyt",15
"473","operator",15
"474","oredi",15
"475","party",15
"476","player",15
"477","pretty",15
"478","quiz",15
"479","read",15
"480","rs",15
"481","sea",15
"482","secret",15
"483","suite342",15
"484","tel",15
"485","weeks",15
"486","wit",15
"487","wrong",15
"488","bank",14
"489","blue",14
"490","credit",14
"491","cum",14
"492","earlier",14
"493","fancy",14
"494","fone",14
"495","fr",14
"496","freemsg",14
"497","frm",14
"498","frnds",14
"499","hmm",14
"500","hungry",14
"501","isn",14
"502","jay",14
"503","listen",14
"504","log",14
"505","mate",14
"506","meant",14
"507","mu",14
"508","offers",14
"509","project",14
"510","reason",14
"511","savamob",14
"512","snow",14
"513","sunday",14
"514","tc",14
"515","telling",14
"516","ten",14
"517","unlimited",14
"518","wasn",14
"519","wkly",14
"520","yr",14
"521","03",13
"522","0800",13
"523","2003",13
"524","87066",13
"525","age",13
"526","ago",13
"527","ass",13
"528","b4",13
"529","balance",13
"530","bslvyl",13
"531","caller",13
"532","christmas",13
"533","congratulations",13
"534","couple",13
"535","cut",13
"536","dnt",13
"537","download",13
"538","enter",13
"539","father",13
"540","gas",13
"541","gn",13
"542","happiness",13
"543","hee",13
"544","hmmm",13
"545","india",13
"546","invited",13
"547","john",13
"548","lost",13
"549","luck",13
"550","mah",13
"551","march",13
"552","mayb",13
"553","motorola",13
"554","park",13
"555","phones",13
"556","press",13
"557","reading",13
"558","sex",13
"559","stupid",13
"560","support",13
"561","talking",13
"562","tired",13
"563","txts",13
"564","understand",13
"565","valued",13
"566","yar",13
"567","04",12
"568","12",12
"569","20",12
"570","200",12
"571","ac",12
"572","ans",12
"573","askd",12
"574","bcoz",12
"575","call2optout",12
"576","charged",12
"577","comp",12
"578","complimentary",12
"579","computer",12
"580","confirm",12
"581","correct",12
"582","darren",12
"583","die",12
"584","difficult",12
"585","direct",12
"586","doin",12
"587","eh",12
"588","extra",12
"589","gal",12
"590","ge",12
"591","gotta",12
"592","grins",12
"593","gym",12
"594","heard",12
"595","information",12
"596","ipod",12
"597","joy",12
"598","laptop",12
"599","loads",12
"600","met",12
"601","mobiles",12
"602","pass",12
"603","picking",12
"604","questions",12
"605","red",12
"606","redeemed",12
"607","rental",12
"608","reveal",12
"609","semester",12
"610","sending",12
"611","song",12
"612","sound",12
"613","st",12
"614","supposed",12
"615","surprise",12
"616","swing",12
"617","ugh",12
"618","uncle",12
"619","wow",12
"620","abiola",11
"621","asap",11
"622","bath",11
"623","blood",11
"624","checking",11
"625","clean",11
"626","comin",11
"627","crave",11
"628","discount",11
"629","dogging",11
"630","dream",11
"631","entered",11
"632","exam",11
"633","feels",11
"634","hg",11
"635","kate",11
"636","lovable",11
"637","loved",11
"638","match",11
"639","monday",11
"640","move",11
"641","muz",11
"642","noon",11
"643","orchard",11
"644","paper",11
"645","pete",11
"646","plans",11
"647","police",11
"648","remove",11
"649","rest",11
"650","reward",11
"651","rock",11
"652","rply",11
"653","safe",11
"654","sell",11
"655","shower",11
"656","slow",11
"657","slowly",11
"658","sort",11
"659","std",11
"660","store",11
"661","truth",11
"662","txting",11
"663","usf",11
"664","w1j6hl",11
"665","wap",11
"666","weed",11
"667","wine",11
"668","yep",11
"669","00",10
"670","2nite",10
"671","900",10
"672","admirer",10
"673","bathe",10
"674","bill",10
"675","booked",10
"676","callertune",10
"677","cheap",10
"678","convey",10
"679","custcare",10
"680","deep",10
"681","del",10
"682","drugs",10
"683","em",10
"684","empty",10
"685","energy",10
"686","england",10
"687","fantastic",10
"688","figure",10
"689","film",10
"690","forever",10
"691","gettin",10
"692","getzed",10
"693","glad",10
"694","hmv",10
"695","hoping",10
"696","hospital",10
"697","hw",10
"698","il",10
"699","immediately",10
"700","kids",10
"701","king",10
"702","laugh",10
"703","ldn",10
"704","leaves",10
"705","link",10
"706","merry",10
"707","mm",10
"708","moment",10
"709","months",10
"710","normal",10
"711","ntt",10
"712","oops",10
"713","poor",10
"714","pray",10
"715","rakhesh",10
"716","rates",10
"717","reached",10
"718","representative",10
"719","ringtones",10
"720","save",10
"721","sony",10
"722","spend",10
"723","street",10
"724","study",10
"725","terms",10
"726","tickets",10
"727","tonite",10
"728","ts",10
"729","usual",10
"730","voice",10
"731","warm",10
"732","water",10
"733","wishing",10
"734","woke",10
"735","worried",10
"736","write",10
"737","11mths",9
"738","20p",9
"739","2day",9
"740","4u",9
"741","accept",9
"742","access",9
"743","age16",9
"744","al",9
"745","bb",9
"746","bluetooth",9
"747","boss",9
"748","brings",9
"749","buying",9
"750","catch",9
"751","cd",9
"752","charity",9
"753","children",9
"754","coffee",9
"755","colleagues",9
"756","completely",9
"757","comuk",9
"758","copy",9
"759","credits",9
"760","cup",9
"761","dead",9
"762","deal",9
"763","decide",9
"764","disturb",9
"765","doctor",9
"766","doesnt",9
"767","excellent",9
"768","eyes",9
"769","flag",9
"770","forwarded",9
"771","goodnight",9
"772","hiya",9
"773","ho",9
"774","iam",9
"775","ice",9
"776","ive",9
"777","kinda",9
"778","lazy",9
"779","ldew",9
"780","lect",9
"781","lessons",9
"782","loan",9
"783","lover",9
"784","meh",9
"785","mo",9
"786","mode",9
"787","mon",9
"788","moral",9
"789","mrt",9
"790","promise",9
"791","rain",9
"792","reaching",9
"793","rent",9
"794","short",9
"795","sick",9
"796","silent",9
"797","sitting",9
"798","situation",9
"799","sofa",9
"800","specially",9
"801","starting",9
"802","starts",9
"803","staying",9
"804","studying",9
"805","summer",9
"806","sunshine",9
"807","tampa",9
"808","thinkin",9
"809","tht",9
"810","train",9
"811","trust",9
"812","urself",9
"813","user",9
"814","valentine",9
"815","valentines",9
"816","wondering",9
"817","worries",9
"818","xy",9
"819","02",8
"820","06",8
"821","0870",8
"822","08712460324",8
"823","2004",8
"824","25p",8
"825","3030",8
"826","50p",8
"827","5we",8
"828","87077",8
"829","add",8
"830","aha",8
"831","alex",8
"832","anymore",8
"833","apartment",8
"834","ar",8
"835","ave",8
"836","awaiting",8
"837","bak",8
"838","bedroom",8
"839","black",8
"840","cake",8
"841","cancel",8
"842","cheers",8
"843","cinema",8
"844","complete",8
"845","cover",8
"846","cute",8
"847","daddy",8
"848","digital",8
"849","din",8
"850","door",8
"851","dvd",8
"852","entitled",8
"853","facebook",8
"854","fault",8
"855","fingers",8
"856","fixed",8
"857","freephone",8
"858","frens",8
"859","fullonsms",8
"860","funny",8
"861","future",8
"862","gay",8
"863","giving",8
"864","goto",8
"865","honey",8
"866","hurts",8
"867","idea",8
"868","inside",8
"869","ip4",8
"870","joined",8
"871","kick",8
"872","lemme",8
"873","library",8
"874","loves",8
"875","mark",8
"876","matches",8
"877","medical",8
"878","miracle",8
"879","mistake",8
"880","mood",8
"881","moon",8
"882","movies",8
"883","nigeria",8
"884","no1",8
"885","omg",8
"886","opinion",8
"887","paying",8
"888","pc",8
"889","picked",8
"890","pix",8
"891","pizza",8
"892","planning",8
"893","polys",8
"894","pound",8
"895","power",8
"896","quick",8
"897","rcvd",8
"898","realy",8
"899","reference",8
"900","registered",8
"901","replying",8
"902","request",8
"903","road",8
"904","rose",8
"905","round",8
"906","sale",8
"907","sign",8
"908","single",8
"909","slave",8
"910","slept",8
"911","south",8
"912","sp",8
"913","spent",8
"914","stand",8
"915","style",8
"916","swt",8
"917","training",8
"918","trouble",8
"919","tuesday",8
"920","umma",8
"921","vl",8
"922","wednesday",8
"923","weekends",8
"924","weight",8
"925","wishes",8
"926","wiv",8
"927","workin",8
"928","yahoo",8
"929","yrs",8
"930","08718720201",7
"931","10am",7
"932","1327",7
"933","25",7
"934","36504",7
"935","3g",7
"936","400",7
"937","5wb",7
"938","62468",7
"939","7pm",7
"940","82277",7
"941","85023",7
"942","8th",7
"943","advance",7
"944","ahead",7
"945","alrite",7
"946","arrive",7
"947","awake",7
"948","bag",7
"949","battery",7
"950","bid",7
"951","biz",7
"952","bold",7
"953","bother",7
"954","bucks",7
"955","bugis",7
"956","buzz",7
"957","bx420",7
"958","cal",7
"959","cell",7
"960","changed",7
"961","cine",7
"962","click",7
"963","cold",7
"964","costa",7
"965","country",7
"966","cr9",7
"967","croydon",7
"968","cuz",7
"969","damn",7
"970","depends",7
"971","dey",7
"972","dog",7
"973","eatin",7
"974","eating",7
"975","excuse",7
"976","experience",7
"977","fat",7
"978","feb",7
"979","flirt",7
"980","forward",7
"981","gee",7
"982","hai",7
"983","happening",7
"984","heavy",7
"985","hell",7
"986","holding",7
"987","holla",7
"988","hop",7
"989","horny",7
"990","hotel",7
"991","hurry",7
"992","imagine",7
"993","imma",7
"994","including",7
"995","insurance",7
"996","internet",7
"997","izzit",7
"998","january",7
"999","joke",7
"1000","kallis",7
"1001","kb",7
"1002","la",7
"1003","learn",7
"1004","lift",7
"1005","list",7
"1006","lmao",7
"1007","login",7
"1008","logo",7
"1009","loyalty",7
"1010","maid",7
"1011","malaria",7
"1012","marriage",7
"1013","married",7
"1014","maximize",7
"1015","meaning",7
"1016","menu",7
"1017","mid",7
"1018","midnight",7
"1019","model",7
"1020","mother",7
"1021","mp3",7
"1022","murdered",7
"1023","murderer",7
"1024","notice",7
"1025","nxt",7
"1026","o2",7
"1027","omw",7
"1028","page",7
"1029","paid",7
"1030","password",7
"1031","past",7
"1032","persons",7
"1033","photo",7
"1034","planned",7
"1035","players",7
"1036","pleasure",7
"1037","quality",7
"1038","recently",7
"1039","return",7
"1040","running",7
"1041","sense",7
"1042","share",7
"1043","shd",7
"1044","shuhui",7
"1045","sight",7
"1046","sim",7
"1047","sit",7
"1048","sk38xh",7
"1049","sky",7
"1050","sol",7
"1051","some1",7
"1052","space",7
"1053","spree",7
"1054","station",7
"1055","strong",7
"1056","sucks",7
"1057","ta",7
"1058","tea",7
"1059","team",7
"1060","tear",7
"1061","tenerife",7
"1062","thnk",7
"1063","ticket",7
"1064","torch",7
"1065","tough",7
"1066","tuition",7
"1067","unsub",7
"1068","vikky",7
"1069","walking",7
"1070","waste",7
"1071","weather",7
"1072","worse",7
"1073","wun",7
"1074","yest",7
"1075","yijue",7
"1076","yoga",7
"1077","08707509020",6
"1078","08712300220",6
"1079","09050090044",6
"1080","150pm",6
"1081","28",6
"1082","40gb",6
"1083","4th",6
"1084","86021",6
"1085","aathi",6
"1086","activate",6
"1087","added",6
"1088","aftr",6
"1089","ahmad",6
"1090","air",6
"1091","aiyah",6
"1092","aiyo",6
"1093","amazing",6
"1094","announcement",6
"1095","app",6
"1096","april",6
"1097","arcade",6
"1098","armand",6
"1099","arrange",6
"1100","askin",6
"1101","asleep",6
"1102","ate",6
"1103","babes",6
"1104","barely",6
"1105","body",6
"1106","boo",6
"1107","bought",6
"1108","boys",6
"1109","brand",6
"1110","budget",6
"1111","bye",6
"1112","cafe",6
"1113","campus",6
"1114","cancer",6
"1115","cc",6
"1116","character",6
"1117","checked",6
"1118","childish",6
"1119","closed",6
"1120","confidence",6
"1121","contract",6
"1122","couldn",6
"1123","created",6
"1124","daily",6
"1125","died",6
"1126","dint",6
"1127","directly",6
"1128","due",6
"1129","earth",6
"1130","envelope",6
"1131","er",6
"1132","evng",6
"1133","exciting",6
"1134","expensive",6
"1135","fall",6
"1136","fantasies",6
"1137","fb",6
"1138","fetch",6
"1139","fight",6
"1140","flights",6
"1141","flower",6
"1142","fyi",6
"1143","gap",6
"1144","girlfrnd",6
"1145","green",6
"1146","handset",6
"1147","hl",6
"1148","holder",6
"1149","howz",6
"1150","hr",6
"1151","hrs",6
"1152","hunny",6
"1153","indian",6
"1154","informed",6
"1155","inviting",6
"1156","ish",6
"1157","isnt",6
"1158","joking",6
"1159","jst",6
"1160","kano",6
"1161","keeping",6
"1162","kerala",6
"1163","l8r",6
"1164","lacs",6
"1165","ladies",6
"1166","lady",6
"1167","law",6
"1168","local",6
"1169","london",6
"1170","lookin",6
"1171","loverboy",6
"1172","marry",6
"1173","matter",6
"1174","max10mins",6
"1175","meds",6
"1176","melle",6
"1177","moan",6
"1178","murder",6
"1179","nights",6
"1180","nimya",6
"1181","norm150p",6
"1182","num",6
"1183","official",6
"1184","partner",6
"1185","pilates",6
"1186","pin",6
"1187","pleased",6
"1188","plenty",6
"1189","pobox334",6
"1190","pobox84",6
"1191","posted",6
"1192","process",6
"1193","pussy",6
"1194","putting",6
"1195","qatar",6
"1196","raining",6
"1197","random",6
"1198","relax",6
"1199","replied",6
"1200","report",6
"1201","review",6
"1202","role",6
"1203","scream",6
"1204","screaming",6
"1205","sed",6
"1206","shouldn",6
"1207","simply",6
"1208","sipix",6
"1209","spoke",6
"1210","sport",6
"1211","standard",6
"1212","stockport",6
"1213","straight",6
"1214","students",6
"1215","sunny",6
"1216","super",6
"1217","surely",6
"1218","system",6
"1219","tariffs",6
"1220","tat",6
"1221","teach",6
"1222","teasing",6
"1223","texting",6
"1224","theatre",6
"1225","thts",6
"1226","tick",6
"1227","tncs",6
"1228","toclaim",6
"1229","tour",6
"1230","track",6
"1231","ttyl",6
"1232","txtauction",6
"1233","tyler",6
"1234","urawinner",6
"1235","vary",6
"1236","version",6
"1237","vodafone",6
"1238","vry",6
"1239","w45wq",6
"1240","wats",6
"1241","website",6
"1242","wed",6
"1243","wer",6
"1244","wnt",6
"1245","yay",6
"1246","zed",6
"1247","05",5
"1248","1x150p",5
"1249","21",5
"1250","2mrw",5
"1251","2optout",5
"1252","300",5
"1253","3510i",5
"1254","3rd",5
"1255","434",5
"1256","530",5
"1257","60p",5
"1258","80062",5
"1259","80488",5
"1260","83355",5
"1261","9am",5
"1262","acc",5
"1263","ad",5
"1264","adult",5
"1265","advice",5
"1266","ages",5
"1267","aint",5
"1268","airport",5
"1269","allah",5
"1270","amount",5
"1271","amt",5
"1272","aren",5
"1273","argument",5
"1274","arrested",5
"1275","atm",5
"1276","basically",5
"1277","beer",5
"1278","begin",5
"1279","belly",5
"1280","bf",5
"1281","bin",5
"1282","birds",5
"1283","bitch",5
"1284","boost",5
"1285","boring",5
"1286","boston",5
"1287","brilliant",5
"1288","broke",5
"1289","btw",5
"1290","buns",5
"1291","cabin",5
"1292","callers",5
"1293","cars",5
"1294","cartoon",5
"1295","cbe",5
"1296","cds",5
"1297","centre",5
"1298","charges",5
"1299","cheaper",5
"1300","chinese",5
"1301","choice",5
"1302","city",5
"1303","common",5
"1304","conditions",5
"1305","connection",5
"1306","contacted",5
"1307","costs",5
"1308","cry",5
"1309","cud",5
"1310","current",5
"1311","darling",5
"1312","december",5
"1313","deliver",5
"1314","derek",5
"1315","discuss",5
"1316","dload",5
"1317","dollars",5
"1318","drinks",5
"1319","dropped",5
"1320","drug",5
"1321","ec2a",5
"1322","eerie",5
"1323","egg",5
"1324","eng",5
"1325","english",5
"1326","error",5
"1327","euro2004",5
"1328","exams",5
"1329","expecting",5
"1330","fantasy",5
"1331","fighting",5
"1332","fix",5
"1333","flat",5
"1334","fren",5
"1335","gals",5
"1336","geeee",5
"1337","gentle",5
"1338","gm",5
"1339","google",5
"1340","greet",5
"1341","guide",5
"1342","hands",5
"1343","hate",5
"1344","hella",5
"1345","hook",5
"1346","horrible",5
"1347","hostel",5
"1348","hun",5
"1349","hv",5
"1350","ignore",5
"1351","inclusive",5
"1352","intro",5
"1353","issues",5
"1354","italian",5
"1355","java",5
"1356","jazz",5
"1357","jesus",5
"1358","jiu",5
"1359","jordan",5
"1360","laid",5
"1361","latr",5
"1362","lead",5
"1363","lik",5
"1364","linerental",5
"1365","listening",5
"1366","living",5
"1367","locations",5
"1368","lonely",5
"1369","looked",5
"1370","ma",5
"1371","mad",5
"1372","minuts",5
"1373","mite",5
"1374","moms",5
"1375","mths",5
"1376","noline",5
"1377","nvm",5
"1378","nw",5
"1379","opportunity",5
"1380","optout",5
"1381","oz",5
"1382","photos",5
"1383","pictures",5
"1384","pissed",5
"1385","plane",5
"1386","playing",5
"1387","pobox36504w45wq",5
"1388","polyphonic",5
"1389","pongal",5
"1390","ppl",5
"1391","pple",5
"1392","prabha",5
"1393","quote",5
"1394","quoting",5
"1395","ran",5
"1396","rays",5
"1397","receipt",5
"1398","records",5
"1399","relation",5
"1400","rem",5
"1401","remind",5
"1402","rentl",5
"1403","respect",5
"1404","respond",5
"1405","results",5
"1406","returns",5
"1407","revealed",5
"1408","ride",5
"1409","romantic",5
"1410","roommate",5
"1411","ru",5
"1412","salary",5
"1413","sam",5
"1414","scared",5
"1415","searching",5
"1416","season",5
"1417","sec",5
"1418","selection",5
"1419","selling",5
"1420","sen",5
"1421","shirt",5
"1422","sighs",5
"1423","sing",5
"1424","singles",5
"1425","site",5
"1426","smiles",5
"1427","sn",5
"1428","social",5
"1429","somethin",5
"1430","sonyericsson",5
"1431","spl",5
"1432","spook",5
"1433","stock",5
"1434","stopped",5
"1435","stylish",5
"1436","subscription",5
"1437","sura",5
"1438","surfing",5
"1439","tells",5
"1440","themob",5
"1441","thurs",5
"1442","thursday",5
"1443","timing",5
"1444","tis",5
"1445","tm",5
"1446","totally",5
"1447","transaction",5
"1448","travel",5
"1449","tt",5
"1450","uni",5
"1451","unsold",5
"1452","urgnt",5
"1453","videochat",5
"1454","videophones",5
"1455","village",5
"1456","voda",5
"1457","vomit",5
"1458","vote",5
"1459","waking",5
"1460","weak",5
"1461","wear",5
"1462","wet",5
"1463","white",5
"1464","wins",5
"1465","woman",5
"1466","wouldn",5
"1467","xchat",5
"1468","xxxx",5
"1469","yan",5
"1470","ym",5
"1471","yun",5
"1472","0",4
"1473","08001950382",4
"1474","08002986906",4
"1475","0808",4
"1476","08702840625",4
"1477","08712405020",4
"1478","08715705022",4
"1479","08718727870",4
"1480","09061221066",4
"1481","1000s",4
"1482","11pm",4
"1483","145",4
"1484","24",4
"1485","26",4
"1486","2moro",4
"1487","3d",4
"1488","3gbp",4
"1489","3mins",4
"1490","3qxj9",4
"1491","440",4
"1492","4742",4
"1493","4get",4
"1494","4info",4
"1495","4t",4
"1496","542",4
"1497","5th",4
"1498","6hrs",4
"1499","6th",4
"1500","7250i",4
"1501","786",4
"1502","7th",4
"1503","81151",4
"1504","83600",4
"1505","84199",4
"1506","85",4
"1507","8552",4
"1508","87121",4
"1509","87131",4
"1510","87239",4
"1511","87575",4
"1512","88039",4
"1513","9ae",4
"1514","9pm",4
"1515","abi",4
"1516","accidentally",4
"1517","ache",4
"1518","action",4
"1519","activities",4
"1520","addicted",4
"1521","affection",4
"1522","afraid",4
"1523","ain",4
"1524","aiya",4
"1525","aiyar",4
"1526","alert",4
"1527","ansr",4
"1528","answering",4
"1529","answers",4
"1530","apparently",4
"1531","appointment",4
"1532","appt",4
"1533","argue",4
"1534","arms",4
"1535","assume",4
"1536","atlanta",4
"1537","attend",4
"1538","bahamas",4
"1539","basic",4
"1540","bathing",4
"1541","bay",4
"1542","bcums",4
"1543","bday",4
"1544","becoz",4
"1545","befor",4
"1546","belovd",4
"1547","bet",4
"1548","biggest",4
"1549","bishan",4
"1550","blackberry",4
"1551","blank",4
"1552","bloody",4
"1553","bloomberg",4
"1554","born",4
"1555","bowl",4
"1556","box39822",4
"1557","bright",4
"1558","bringing",4
"1559","brought",4
"1560","bud",4
"1561","cam",4
"1562","career",4
"1563","careful",4
"1564","carefully",4
"1565","cat",4
"1566","celebrate",4
"1567","center",4
"1568","cha",4
"1569","child",4
"1570","church",4
"1571","cleaning",4
"1572","clock",4
"1573","closer",4
"1574","coins",4
"1575","com1win150ppmx3age16",4
"1576","comedy",4
"1577","competition",4
"1578","connect",4
"1579","cook",4
"1580","cooking",4
"1581","cream",4
"1582","credited",4
"1583","cross",4
"1584","cust",4
"1585","cw25wx",4
"1586","dare",4
"1587","dates",4
"1588","decision",4
"1589","def",4
"1590","deleted",4
"1591","delivered",4
"1592","dem",4
"1593","diet",4
"1594","dirty",4
"1595","doc",4
"1596","drivin",4
"1597","dry",4
"1598","é",4
"1599","easier",4
"1600","embarassed",4
"1601","enemy",4
"1602","enjoyed",4
"1603","escape",4
"1604","essential",4
"1605","exact",4
"1606","expect",4
"1607","explain",4
"1608","fa",4
"1609","faster",4
"1610","favour",4
"1611","february",4
"1612","feet",4
"1613","fever",4
"1614","fifteen",4
"1615","file",4
"1616","files",4
"1617","fill",4
"1618","fills",4
"1619","fml",4
"1620","fool",4
"1621","football",4
"1622","freak",4
"1623","freefone",4
"1624","frndship",4
"1625","fromm",4
"1626","gaps",4
"1627","gently",4
"1628","giv",4
"1629","gorgeous",4
